"","X","X.1","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority","Location"
"2327",2327,108901,"1/12/18","Serious Assault Not Resulting in Injury","Stuart St-Frederick St.",2901000,"Dunedin City.","Southland/ Otago"
"2328",2328,108906,"1/12/18","Serious Assault Not Resulting in Injury","Orana Park.",2840500,"Waitaki District.","Canterbury"
"2329",2329,108911,"1/12/18","Serious Assault Not Resulting in Injury","Freemans Bay.",417300,"Auckland.","Auckland"
"2330",2330,108913,"1/12/18","Serious Assault Resulting in Injury","Glen Innes West.",470000,"Auckland.","Auckland"
"2331",2331,108918,"1/12/18","Serious Assault Resulting in Injury","Yatton Park.",1173103,"Tauranga City.","Bay Of Plenty"
"2332",2332,108923,"1/12/18","Serious Assault Resulting in Injury","Pirimai.",1447500,"Napier City.","Hawkes Bay/ Gisborne"
"2333",2333,108929,"1/12/18","Common Assault","Grafton East.",442400,"Auckland.","Auckland"
"2334",2334,108934,"1/12/18","Common Assault","Westport Urban.",2391700,"Buller District.","Tasman/ South-West Coast"
"2335",2335,108939,"1/12/18","Common Assault","Kaikohe.",42400,"Far North District.","Northland"
"2336",2336,108944,"1/12/18","Common Assault","Grandview.",906900,"Hamilton City.","Waikato"
"2337",2337,108949,"1/12/18","Common Assault","Richmond East.",2363700,"Tasman District.","Tasman/ South-West Coast"
"2338",2338,108951,"1/12/18","Serious Assault Not Resulting in Injury","Kaimai.",1191400,"Western Bay of Plenty District.","Bay Of Plenty"
"2339",2339,108956,"1/12/18","Serious Assault Not Resulting in Injury","Waterloo East.",1971500,"Lower Hutt City.","Wellington/ Lower-Central North"
"2340",2340,108961,"1/12/18","Serious Assault Not Resulting in Injury","Lansdowne.",2249600,"Masterton District.","Wellington/ Lower-Central North"
"2341",2341,108963,"1/12/18","Serious Assault Resulting in Injury","Bluff Hill.",1422200,"Napier City.","Hawkes Bay/ Gisborne"
"2342",2342,108968,"1/12/18","Serious Assault Resulting in Injury","Springlands.",2297000,"Marlborough District.","Tasman/ South-West Coast"
"2343",2343,108973,"1/12/18","Serious Assault Resulting in Injury","Feilding Central.",1772100,"Manawatu District.","West Coast/ Upper-Central North"
"2344",2344,108979,"1/12/18","Common Assault","Seaview.",2795500,"Timaru District.","Canterbury"
"2345",2345,108984,"1/12/18","Common Assault","Auckland Central East.",438104,"Auckland.","Auckland"
"2346",2346,108989,"1/12/18","Common Assault","Brockville.",2882300,"Dunedin City.","Southland/ Otago"
"2347",2347,108994,"1/12/18","Common Assault","Auckland Central East.",437101,"Auckland.","Auckland"
"2348",2348,108999,"1/12/18","Common Assault","Wade Heads.",174007,"Auckland.","Auckland"
"2349",2349,109004,"1/12/18","Common Assault","Ensors.",2580400,"Christchurch City.","Canterbury"
"2350",2350,109009,"1/12/18","Common Assault","Hokitika Urban.",2423500,"Westland District.","Tasman/ South-West Coast"
"2351",2351,109016,"1/12/18","Serious Assault Not Resulting in Injury","Fairdene.",230801,"Auckland.","Auckland"
"2352",2352,109021,"1/12/18","Serious Assault Not Resulting in Injury","Epuni East.",1952200,"Lower Hutt City.","Wellington/ Lower-Central North"
"2353",2353,109026,"1/12/18","Serious Assault Not Resulting in Injury","Tauranga Hospital.",1170400,"Tauranga City.","Bay Of Plenty"
"2354",2354,109031,"1/12/18","Serious Assault Not Resulting in Injury","Feilding East.",1763800,"Manawatu District.","West Coast/ Upper-Central North"
"2355",2355,109033,"1/12/18","Serious Assault Resulting in Injury","Titahi Bay North.",2042800,"Porirua City.","Wellington/ Lower-Central North"
"2356",2356,109038,"1/12/18","Serious Assault Resulting in Injury","Willis Street-Cambridge Terrace.",2135600,"Wellington City.","Wellington/ Lower-Central North"
"2357",2357,109043,"1/12/18","Serious Assault Resulting in Injury","Te Aroha.",1103301,"Matamata-Piako District.","Waikato"
"2358",2358,109048,"1/12/18","Serious Assault Resulting in Injury","Kaukapakapa Rural.",211503,"Auckland.","Auckland"
"2359",2359,109053,"1/12/18","Serious Assault Resulting in Injury","Gisborne Airport.",1375804,"Gisborne District.","Hawkes Bay/ Gisborne"
"2360",2360,109058,"1/12/18","Serious Assault Resulting in Injury","Clendon South.",774437,"Auckland.","Auckland"
"2361",2361,109059,"1/12/18","Common Assault","Ohinemutu.",1231700,"Rotorua District.","Bay Of Plenty"
"2362",2362,109064,"1/12/18","Common Assault","Ashburton Central East.",2729900,"Ashburton District.","Canterbury"
"2363",2363,109069,"1/12/18","Common Assault","Favona North.",730001,"Auckland.","Auckland"
"2364",2364,109074,"1/12/18","Common Assault","Kingswell-Clifton.",3152000,"Invercargill City.","Southland/ Otago"
"2365",2365,109079,"1/12/18","Common Assault","Dargaville.",113800,"Kaipara District.","Northland"
"2366",2366,109084,"1/12/18","Common Assault","Point England.",477700,"Auckland.","Auckland"
"2367",2367,109089,"1/12/18","Common Assault","Hagley Park.",2678300,"Christchurch City.","Canterbury"
"2368",2368,109096,"1/12/18","Serious Assault Not Resulting in Injury","Kaweku.",3048600,"Southland District.","Southland/ Otago"
"2369",2369,109101,"1/12/18","Serious Assault Not Resulting in Injury","Porirua Central.",2052500,"Porirua City.","Wellington/ Lower-Central North"
"2370",2370,109106,"1/12/18","Serious Assault Not Resulting in Injury","Yatton Park.",1173800,"Tauranga City.","Bay Of Plenty"
"2371",2371,109108,"1/12/18","Serious Assault Resulting in Injury","New Plymouth Central.",1592400,"New Plymouth District.","West Coast/ Upper-Central North"
"2372",2372,109113,"1/12/18","Serious Assault Resulting in Injury","Strathern.",3147900,"Invercargill City.","Southland/ Otago"
"2373",2373,109118,"1/12/18","Serious Assault Resulting in Injury","Urewera.",1302100,"Whakatane District.","Bay Of Plenty"
"2374",2374,109123,"1/12/18","Serious Assault Resulting in Injury","Hawera South.",1645300,"South Taranaki District.","West Coast/ Upper-Central North"
"2375",2375,109128,"1/12/18","Serious Assault Resulting in Injury","Te Puru-Thornton Bay.",1057001,"Thames-Coromandel District.","Waikato"
"2376",2376,109134,"1/12/18","Common Assault","Blenheim Central.",2299800,"Marlborough District.","Tasman/ South-West Coast"
"2377",2377,109139,"1/12/18","Common Assault","Harania West.",734603,"Auckland.","Auckland"
"2378",2378,109144,"1/12/18","Common Assault","Auckland Central East.",436300,"Auckland.","Auckland"
"2379",2379,109149,"1/12/18","Common Assault","Seacliffe.",318700,"Auckland.","Auckland"
"2380",2380,109156,"1/12/18","Serious Assault Not Resulting in Injury","Cannons Creek East.",2061600,"Porirua City.","Wellington/ Lower-Central North"
"2381",2381,109161,"1/12/18","Serious Assault Not Resulting in Injury","Mangaore-Manakau.",1858402,"Horowhenua District.","Wellington/ Lower-Central North"
"2382",2382,109163,"1/12/18","Serious Assault Resulting in Injury","Bayswater.",319000,"Auckland.","Auckland"
"2383",2383,109168,"1/12/18","Serious Assault Resulting in Injury","Papakura North.",792800,"Auckland.","Auckland"
"2384",2384,109174,"1/12/18","Common Assault","Westlake.",304800,"Auckland.","Auckland"
"2385",2385,109179,"1/12/18","Common Assault","Manukau Central.",780204,"Auckland.","Auckland"
"2386",2386,109184,"1/12/18","Common Assault","Lyall Bay-Airport-Moa Point.",2175600,"Wellington City.","Wellington/ Lower-Central North"
"2387",2387,109189,"1/12/18","Common Assault","Red Hill.",800307,"Auckland.","Auckland"
"2388",2388,109196,"1/12/18","Serious Assault Not Resulting in Injury","Auckland Central West.",434802,"Auckland.","Auckland"
"2389",2389,109201,"1/12/18","Serious Assault Not Resulting in Injury","Papakura East.",799000,"Auckland.","Auckland"
"2390",2390,109684,"1/7/18","Common Assault","Otahuhu West.",784000,"Auckland.","Auckland"
"2391",2391,109694,"1/7/18","Common Assault","Three Kings.",563800,"Auckland.","Auckland"
"2392",2392,109696,"1/7/18","Serious Assault Not Resulting in Injury","Barrington North.",2640100,"Christchurch City.","Canterbury"
"2393",2393,109704,"1/7/18","Common Assault","Ferndale.",644103,"Auckland.","Auckland"
"2394",2394,109711,"1/7/18","Serious Assault Not Resulting in Injury","Onehunga South East.",601000,"Auckland.","Auckland"
"2395",2395,109714,"1/7/18","Common Assault","Auckland Central West.",433200,"Auckland.","Auckland"
"2396",2396,109719,"1/7/18","Common Assault","Waerenga.",935600,"Waikato District.","Waikato"
"2397",2397,109726,"1/7/18","Serious Assault Not Resulting in Injury","Fordlands.",1228700,"Rotorua District.","Bay Of Plenty"
"2398",2398,109731,"1/7/18","Serious Assault Not Resulting in Injury","Tikitere.",1252300,"Rotorua District.","Bay Of Plenty"
"2399",2399,109734,"1/7/18","Common Assault","Linwood East.",2566700,"Christchurch City.","Canterbury"
"2400",2400,109744,"1/7/18","Common Assault","Omanu.",1204300,"Tauranga City.","Bay Of Plenty"
"2401",2401,109746,"1/7/18","Serious Assault Not Resulting in Injury","Welcome Bay West.",1180006,"Tauranga City.","Bay Of Plenty"
"2402",2402,109754,"1/7/18","Common Assault","Parkvale.",1499100,"Hastings District.","Hawkes Bay/ Gisborne"
"2403",2403,109756,"1/7/18","Serious Assault Not Resulting in Injury","Papatoetoe West.",660200,"Auckland.","Auckland"
"2404",2404,109761,"1/7/18","Serious Assault Not Resulting in Injury","Fordell-Kakatahi.",1687400,"Wanganui District.","West Coast/ Upper-Central North"
"2405",2405,109764,"1/7/18","Common Assault","High St-Stuart St.",2898300,"Dunedin City.","Southland/ Otago"
"2406",2406,109766,"1/7/18","Serious Assault Not Resulting in Injury","Brookfield.",1161108,"Tauranga City.","Bay Of Plenty"
"2407",2407,109775,"1/7/18","Aggravated Sexual Assault","Lambton.",2127500,"Wellington City.","Wellington/ Lower-Central North"
"2408",2408,109780,"1/7/18","Aggravated Sexual Assault","Bromley.",2580306,"Christchurch City.","Canterbury"
"2409",2409,109785,"1/7/18","Aggravated Sexual Assault","Kohuora.",658800,"Auckland.","Auckland"
"2410",2410,109790,"1/7/18","Aggravated Sexual Assault","Kaitaia East.",14200,"Far North District.","Northland"
